district,lon,lat,soc_0_30_tC_per_ha
Karnal,76.69583836458096,29.665315132023775,30.0
Karnal,76.76303642066355,29.665315132023775,31.0
Karnal,76.83023447674616,29.665315132023775,31.0
Karnal,76.89743253282874,29.665315132023775,33.0
Karnal,76.96463058891133,29.665315132023775,30.0
Karnal,77.03182864499394,29.665315132023775,32.0
Karnal,77.09902670107651,29.665315132023775,37.0
Karnal,77.16622475715911,29.665315132023775,35.0
Karnal,77.2334228132417,29.665315132023775,33.0
Karnal,77.3006208693243,29.665315132023775,36.0
Karnal,76.26581810891963,29.606924638556002,31.0
Karnal,76.33297721599396,29.606924638556002,32.0
Karnal,76.40013632306828,29.606924638556002,31.0
Karnal,76.4672954301426,29.606924638556002,29.0
Karnal,76.53445453721692,29.606924638556002,30.0
Karnal,76.60161364429125,29.606924638556002,31.0
Karnal,76.66877275136557,29.606924638556002,32.0
Karnal,76.7359318584399,29.606924638556002,31.0
Karnal,76.80309096551422,29.606924638556002,32.0
Karnal,76.87025007258852,29.606924638556002,34.0
Karnal,76.93740917966285,29.606924638556002,34.0
Karnal,77.00456828673717,29.606924638556002,31.0
Karnal,77.0717273938115,29.606924638556002,32.0
Karnal,77.1388865008858,29.606924638556002,34.0
Karnal,77.20604560796014,29.606924638556002,37.0
Karnal,77.27320471503445,29.606924638556002,36.0
Karnal,76.2390652711499,29.548534145088233,29.0
Karnal,76.3061855440099,29.548534145088233,27.0
Karnal,76.3733058168699,29.548534145088233,30.0
Karnal,76.4404260897299,29.548534145088233,33.0
Karnal,76.50754636258989,29.548534145088233,32.0
Karnal,76.57466663544989,29.548534145088233,29.0
Karnal,76.64178690830988,29.548534145088233,31.0
Karnal,76.70890718116988,29.548534145088233,30.0
Karnal,76.77602745402987,29.548534145088233,34.0
Karnal,76.84314772688988,29.548534145088233,34.0
Karnal,76.91026799974988,29.548534145088233,33.0
Karnal,76.97738827260987,29.548534145088233,29.0
Karnal,77.04450854546987,29.548534145088233,34.0
Karnal,77.11162881832986,29.548534145088233,30.0
Karnal,77.17874909118986,29.548534145088233,35.0
Karnal,77.24586936404985,29.548534145088233,32.0
Karnal,76.21239132214916,29.490143651620468,27.0
Karnal,76.27947287530915,29.490143651620468,29.0
Karnal,76.34655442846915,29.490143651620468,34.0
Karnal,76.41363598162914,29.490143651620468,32.0
Karnal,76.48071753478916,29.490143651620468,32.0
Karnal,76.54779908794917,29.490143651620468,31.0
Karnal,76.61488064110917,29.490143651620468,31.0
Karnal,76.68196219426918,29.490143651620468,32.0
Karnal,76.7490437474292,29.490143651620468,36.0
Karnal,76.81612530058919,29.490143651620468,35.0
Karnal,76.8832068537492,29.490143651620468,33.0
Karnal,76.95028840690921,29.490143651620468,35.0
Karnal,77.0173699600692,29.490143651620468,33.0
Karnal,77.08445151322921,29.490143651620468,32.0
Karnal,77.1515330663892,29.490143651620468,34.0
Karnal,77.21861461954923,29.490143651620468,38.0
Karnal,76.1857960701121,29.4317531581527,27.0
Karnal,76.25283901780803,29.4317531581527,27.0
Karnal,76.31988196550394,29.4317531581527,27.0
Karnal,76.38692491319986,29.4317531581527,28.0
Karnal,76.45396786089579,29.4317531581527,27.0
Karnal,76.52101080859171,29.4317531581527,32.0
Karnal,76.58805375628764,29.4317531581527,29.0
Karnal,76.65509670398356,29.4317531581527,33.0
Karnal,76.7221396516795,29.4317531581527,33.0
Karnal,76.78918259937541,29.4317531581527,31.0
Karnal,76.85622554707135,29.4317531581527,34.0
Karnal,76.92326849476726,29.4317531581527,35.0
Karnal,76.99031144246317,29.4317531581527,27.0
Karnal,77.0573543901591,29.4317531581527,34.0
Karnal,77.12439733785503,29.4317531581527,36.0
Karnal,77.19144028555094,29.4317531581527,38.0
